,title,rating
0,Stripes,8.6
1,All About Nina,8.6
2,The Boy Who Harnessed the Wind,8.6
3,Cookie's Fortune,8.6
4,The Autopsy of Jane Doe,8.6
5,Junebug,8.6
6,The Perks of Being a Wallflower,8.6
7,Okja,8.6
8,Ravenous (Les affamés),8.7
9,The Naked Gun: From the Files of Police Squad!,8.7
10,First They Killed My Father,8.7
11,Mountain,8.7
12,Freaks,8.7
13,Even the Rain (Meme La Pluie),8.7
14,Chasing Amy,8.7
15,The Matrix,8.7
16,American Beauty,8.7
17,Blue Valentine,8.7
18,It Comes At Night,8.7
19,Django Unchained,8.7
20,Inception,8.7
21,Winter on Fire: Ukraine's Fight for Freedom,8.8
22,Burning Sands,8.8
23,Get Me Roger Stone,8.8
24,Emelie,8.8
25,The Workshop (L'atelier),8.8
26,Tremors,8.8
27,The Great Hack,8.8
28,Phantom Boy,8.8
29,The Willoughbys,8.9
30,The Incredible Jessica James,8.8
31,Indiana Jones and the Last Crusade,8.8
32,Cargo,8.8
33,Morris from America,8.8
34,The Invitation,8.8
35,Christine,8.8
36,Mystic River,8.8
37,The Lobster,8.8
38,Ralph Breaks the Internet,8.8
39,Ant-Man and the Wasp,8.8
40,Creep,8.9
41,The Desert Bride (La Novia del Desierto),8.9
42,Joan Didion: The Center Will Not Hold,8.9
43,Master Z: Ip Man Legacy,8.9
44,"What Happened, Miss Simone?",8.9
45,The Breaker Upperers,8.9
46,Super Dark Times,8.9
47,I don't feel at home in this world anymore.,8.9
48,On Body and Soul (A Teströl és Lélekröl),8.9
49,Mary and The Witch's Flower,8.9
50,Always Be My Maybe,8.9
51,Blood Father,8.9
52,Tarzan,8.9
53,Bolt,8.9
54,Blue Is The Warmest Color,8.9
55,The Two Popes,8.9
56,20th Century Women,8.8
57,A Most Violent Year,8.9
58,Inglourious Basterds,8.9
59,Baahubali 2: The Conclusion,9.0
60,Fire In The Blood,9.0
61,The Night Comes For Us,9.0
62,Veronica (Verónica),9.0
63,Blue Jay,9.0
64,Our Souls at Night,9.0
65,Paddleton,9.0
66,La Bamba,9.0
67,Walking Out,9.0
68,What's Eating Gilbert Grape,9.0
69,Tootsie,9.0
70,I Am Mother,9.0
71,Happy as Lazzaro (Lazzaro felice),9.0
72,Obvious Child,9.0
73,Clouds of Sils Maria,9.0
74,Moon,9.0
75,A Serious Man,9.0
76,Minority Report,9.0
77,District 9,9.0
78,The Witch,9.0
79,Suburra,9.1
80,The Confirmation,9.1
81,She's Gotta Have It,9.1
82,Nobody Speak: Trials of the Free Press,9.1
83,Like Water for Chocolate (Como Agua para Chocolate),9.1
84,1922,9.1
85,Willy Wonka and the Chocolate Factory,9.1
86,Gerald's Game,9.1
87,Trainspotting,9.1
88,The Kindergarten Teacher,9.1
89,Mississippi Grind,9.1
90,El Camino: A Breaking Bad Movie,9.1
91,The Sapphires,9.1
92,The Spectacular Now,9.1
93,Locke,9.1
94,The Ballad of Buster Scruggs,9.1
95,There Will Be Blood,9.1
96,Green Room,9.1
97,Good Time,9.1
98,The Fighter,9.1
99,A Ghost Story,9.1
100,Up in the Air,9.1
101,Ali's Wedding,9.2
102,Deidra & Laney Rob a Train,9.2
103,Rocko's Modern Life: Static Cling,9.2
104,Hush,9.2
105,They'll Love Me When I'm Dead,9.2
106,Mindhorn,9.2
107,Into the Inferno,9.2
108,Backcountry,9.2
109,Set It Up,9.2
110,Miss Americana,9.2
111,Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese,9.2
112,Fyre,9.2
113,The Endless,9.2
114,Slow West,9.2
115,Y Tu Mama Tambien,9.2
116,Beasts of No Nation,9.2
117,The Squid and the Whale,9.2
118,The End Of The Tour,9.2
119,Arthur Christmas,9.2
120,Frances Ha,9.2
121,The Gift,9.2
122,The Meyerowitz Stories (New and Selected),9.2
123,"I, Daniel Blake",9.2
124,Silver Linings Playbook,9.2
125,Ex Machina,9.2
126,One of Us,9.3
127,Uncorked,9.3
128,Sand Storm (Sufat Chol),9.3
129,Boy and the World (O Menino e o Mundo),9.3
130,I'll See You in My Dreams,9.3
131,We the Animals,9.3
132,CAM,9.3
133,The Little Prince,9.3
134,High Flying Bird,9.3
135,Neruda,9.3
136,50/50,9.3
137,Hugo,9.3
138,Milk,9.3
139,Dallas Buyers Club,9.3
140,Room,9.3
141,The American Meme,9.4
142,Screwball,9.4
143,Sweetheart,9.4
144,A Silent Voice (Koe no katachi),9.4
145,Newtown,9.4
146,Icarus,9.4
147,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",9.4
148,Gook,9.4
149,Klaus,9.4
150,Howards End,9.4
151,The Crying Game,9.4
152,Raging Bull,9.4
153,Private Life,9.4
154,De Palma,9.4
155,Train to Busan (Busanhaeng),9.4
156,The Edge of Seventeen,9.4
157,Snowpiercer,9.4
158,Incredibles 2,9.4
159,Palio,9.5
160,Furie (Hai phuong),9.5
161,The Queen,9.5
162,Strike a Pose,9.5
163,The World Is Yours (Le monde ou rien),9.5
164,Time Share (Tiempo Compartido),9.5
165,How To Change The World,9.5
166,Tramps,9.5
167,Notes on Blindness,9.5
168,See You Yesterday,9.5
169,Outside In,9.5
170,Lagaan: Once Upon a Time in India,9.5
171,The Evil Dead,9.5
172,Monty Python's Life of Brian,9.5
173,Once Upon a Time in the West,9.5
174,Raiders of the Lost Ark,9.5
175,Krisha,9.5
176,Fire at Sea (Fuocoammare),9.5
177,Shadow,9.5
178,The Breadwinner,9.5
179,Searching for Sugar Man,9.5
180,The Pianist,9.5
181,Burning (Beoning),9.5
182,Amy,9.5
183,Pan's Labyrinth,9.5
184,Her,9.5
185,The King's Speech,9.5
186,Marriage Story,9.5
187,The Artist,9.5
188,Roma,9.5
189,"Bikram: Yogi, Guru, Predator",9.6
190,Grass,9.6
191,The Stranger,9.6
