rank,title,rating
1,Our Planet,9.3
2,When They See Us,8.9
3,Stranger Things,8.8
4,House of Cards,8.7
5,Black Mirror,8.8
6,Narcos,8.8
7,Arrested Development,8.7
8,Sacred Games,8.7
9,Dark,8.7
10,The Haunting of Hill House,8.7
11,The Crown,8.7
12,BoJack Horseman,8.7
13,Daredevil,8.6
14,Mindhunter,8.6
15,Making a Murderer,8.6
16,"Love, Death & Robots",8.5
17,Anne with an E,8.6
18,Chef's Table,8.6
19,Formula 1: Drive to Survive,8.6
20,Money Heist,8.4
21,The Punisher,8.5
22,Unbelievable,8.5
23,The Mechanism,8.4
24,The Dark Crystal: Age of Resistance,8.5
25,Last Chance U,8.5
26,Trollhunters: Tales of Arcadia,8.4
27,After Life,8.5
28,Narcos: Mexico,8.4
29,Trailer Park Boys,8.4
30,The Dragon Prince,8.4
31,The Witcher,8.3
32,Sense8,8.3
33,Ozark,8.4
34,Sex Education,8.3
35,Master of None,8.3
36,The Last Kingdom,8.4
37,Atypical,8.3
38,Godless,8.3
39,Grace and Frankie,8.3
40,Longmire,8.3
41,The Get Down,8.3
42,Kingdom,8.3
43,Lucifer,8.2
44,The Killing,8.2
45,Castlevania,8.2
46,American Vandal,8.2
47,Wild Wild Country,8.2
48,The Kominsky Method,8.2
49,One Day at a Time,8.2
50,Orange Is the New Black,8.1
51,Altered Carbon,8.1
52,The End of the F***ing World,8.1
53,Star Wars: The Clone Wars,8.1
54,Travelers,8.1
55,Dead to Me,8.1
56,Don't F**k with Cats: Hunting an Internet Killer,8.1
57,The Keepers,8.1
58,Lovesick,8.1
59,Comedians in Cars Getting Coffee,8.1
60,On My Block,8.1
61,Voltron: Legendary Defender,8.1
62,Dirty Money,8.1
63,Jessica Jones,8
64,The Umbrella Academy,7.9
65,Marco Polo,8
66,Big Mouth,8
67,Bloodline,8
68,GLOW,8
69,Lilyhammer,8
70,F Is for Family,8
71,Rise of Empires: Ottoman,8
72,DreamWorks Dragons,8
73,Suburra: Blood on Rome,8
74,Inside Bill's Brain: Decoding Bill Gates,8
75,The OA,7.9
76,Russian Doll,7.9
77,The Spy,7.9
78,The Staircase,7.9
79,How to Sell Drugs Online (Fast),7.9
80,Undercover,7.9
81,13 Reasons Why,7.8
82,You,7.8
83,Maniac,7.8
84,Santa Clarita Diet,7.8
85,A Series of Unfortunate Events,7.8
86,Alias Grace,7.8
87,Conversations with a Killer: The Ted Bundy Tapes,7.8
88,El Chapo,7.8
89,Love,7.7
90,Messiah,7.7
91,Gilmore Girls: A Year in the Life,7.7
92,I Am Not Okay with This,7.6
93,The Gift,7.6
94,Seven Seconds,7.7
95,Cable Girls,7.7
96,Spinning Out,7.7
97,Damnation,7.7
98,Designated Survivor,7.5
99,Chilling Adventures of Sabrina,7.6
100,Unbreakable Kimmy Schmidt,7.6
101,Elite,7.6
102,Evil Genius: The True Story of America's Most Diabolical Bank Heist,7.6
103,The Politician,7.5
104,The Devil Next Door,7.6
105,The Ranch,7.5
106,Quicksand,7.5
107,Everything Sucks!,7.5
108,Ragnarok,7.5
109,Marianne,7.5
110,Dogs of Berlin,7.5
111,Virgin River,7.5
112,Locke & Key,7.4
113,Wet Hot American Summer: First Day of Camp,7.4
114,The Stranger,7.4
115,3%,7.4
116,Glitch,7.4
117,Killer Inside: The Mind of Aaron Hernandez,7.4
118,Criminal: UK,7.4
119,Luke Cage,7.3
120,The Defenders,7.3
121,Lost in Space,7.3
122,Safe,7.3
123,Living with Yourself,7.2
124,La forêt,7.3
125,Disenchantment,7.2
