,title,year,rating
0,Stripes,1981,8.6
1,All About Nina,2018,8.6
2,The Boy Who Harnessed the Wind,2019,8.6
3,Cookie's Fortune,1999,8.6
4,The Autopsy of Jane Doe,2016,8.6
5,Junebug,2005,8.6
6,The Perks of Being a Wallflower,2012,8.6
7,Okja,2017,8.6
8,Ravenous (Les affamés),2018,8.7
9,The Naked Gun: From the Files of Police Squad!,1988,8.7
10,First They Killed My Father,2017,8.7
11,Mountain,2018,8.7
12,Freaks,2019,8.7
13,Even the Rain (Meme La Pluie),2011,8.7
14,Chasing Amy,1997,8.7
15,The Matrix,1999,8.7
16,American Beauty,1999,8.7
17,Blue Valentine,2010,8.7
18,It Comes At Night,2017,8.7
19,Django Unchained,2012,8.7
20,Inception,2010,8.7
21,Winter on Fire: Ukraine's Fight for Freedom,2015,8.8
22,Burning Sands,2017,8.8
23,Get Me Roger Stone,2017,8.8
24,Emelie,2016,8.8
25,The Workshop (L'atelier),2018,8.8
26,Tremors,1990,8.8
27,The Great Hack,2019,8.8
28,Phantom Boy,2016,8.8
29,The Willoughbys,2020,8.9
30,The Incredible Jessica James,2017,8.8
31,Indiana Jones and the Last Crusade,1989,8.8
32,Cargo,2018,8.8
33,Morris from America,2016,8.8
34,The Invitation,2016,8.8
35,Christine,2016,8.8
36,Mystic River,2003,8.8
37,The Lobster,2016,8.8
38,Ralph Breaks the Internet,2018,8.8
39,Ant-Man and the Wasp,2018,8.8
40,Creep,2015,8.9
41,The Desert Bride (La Novia del Desierto),2018,8.9
42,Joan Didion: The Center Will Not Hold,2017,8.9
43,Master Z: Ip Man Legacy,2019,8.9
44,"What Happened, Miss Simone?",2015,8.9
45,The Breaker Upperers,2018,8.9
46,Super Dark Times,2017,8.9
47,I don't feel at home in this world anymore.,2017,8.9
48,On Body and Soul (A Teströl és Lélekröl),2018,8.9
49,Mary and The Witch's Flower,2018,8.9
50,Always Be My Maybe,2019,8.9
51,Blood Father,2016,8.9
52,Tarzan,1999,8.9
53,Bolt,2008,8.9
54,Blue Is The Warmest Color,2013,8.9
55,The Two Popes,2019,8.9
56,20th Century Women,2017,8.8
57,A Most Violent Year,2015,8.9
58,Inglourious Basterds,2009,8.9
59,Baahubali 2: The Conclusion,2017,9.0
60,Fire In The Blood,2013,9.0
61,The Night Comes For Us,2018,9.0
62,Veronica (Verónica),2017,9.0
63,Blue Jay,2016,9.0
64,Our Souls at Night,2017,9.0
65,Paddleton,2019,9.0
66,La Bamba,1987,9.0
67,Walking Out,2017,9.0
68,What's Eating Gilbert Grape,1993,9.0
69,Tootsie,1982,9.0
70,I Am Mother,2019,9.0
71,Happy as Lazzaro (Lazzaro felice),2018,9.0
72,Obvious Child,2014,9.0
73,Clouds of Sils Maria,2015,9.0
74,Moon,2009,9.0
75,A Serious Man,2009,9.0
76,Minority Report,2002,9.0
77,District 9,2009,9.0
78,The Witch,2016,9.0
79,Suburra,2015,9.1
80,The Confirmation,2016,9.1
81,She's Gotta Have It,1986,9.1
82,Nobody Speak: Trials of the Free Press,2017,9.1
83,Like Water for Chocolate (Como Agua para Chocolate),1992,9.1
84,1922,2017,9.1
85,Willy Wonka and the Chocolate Factory,1971,9.1
86,Gerald's Game,2017,9.1
87,Trainspotting,1996,9.1
88,The Kindergarten Teacher,2018,9.1
89,Mississippi Grind,2015,9.1
90,El Camino: A Breaking Bad Movie,2019,9.1
91,The Sapphires,2013,9.1
92,The Spectacular Now,2013,9.1
93,Locke,2014,9.1
94,The Ballad of Buster Scruggs,2018,9.1
95,There Will Be Blood,2007,9.1
96,Green Room,2016,9.1
97,Good Time,2017,9.1
98,The Fighter,2010,9.1
99,A Ghost Story,2017,9.1
100,Up in the Air,2009,9.1
101,Ali's Wedding,2017,9.2
102,Deidra & Laney Rob a Train,2017,9.2
103,Rocko's Modern Life: Static Cling,2019,9.2
104,Hush,2016,9.2
105,They'll Love Me When I'm Dead,2018,9.2
106,Mindhorn,2016,9.2
107,Into the Inferno,2016,9.2
108,Backcountry,2015,9.2
109,Set It Up,2018,9.2
110,Miss Americana,2020,9.2
111,Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese,2019,9.2
112,Fyre,2019,9.2
113,The Endless,2018,9.2
114,Slow West,2015,9.2
115,Y Tu Mama Tambien,2001,9.2
116,Beasts of No Nation,2015,9.2
117,The Squid and the Whale,2005,9.2
118,The End Of The Tour,2015,9.2
119,Arthur Christmas,2011,9.2
120,Frances Ha,2013,9.2
121,The Gift,2015,9.2
122,The Meyerowitz Stories (New and Selected),2017,9.2
123,"I, Daniel Blake",2017,9.2
124,Silver Linings Playbook,2012,9.2
125,Ex Machina,2015,9.2
126,One of Us,2017,9.3
127,Uncorked,2020,9.3
128,Sand Storm (Sufat Chol),2016,9.3
129,Boy and the World (O Menino e o Mundo),2015,9.3
130,I'll See You in My Dreams,2015,9.3
131,We the Animals,2018,9.3
132,CAM,2018,9.3
133,The Little Prince,2016,9.3
134,High Flying Bird,2019,9.3
135,Neruda,2016,9.3
136,50/50,2011,9.3
137,Hugo,2011,9.3
138,Milk,2008,9.3
139,Dallas Buyers Club,2013,9.3
140,Room,2015,9.3
141,The American Meme,2018,9.4
142,Screwball,2019,9.4
143,Sweetheart,2019,9.4
144,A Silent Voice (Koe no katachi),2017,9.4
145,Newtown,2016,9.4
146,Icarus,2017,9.4
147,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,9.4
148,Gook,2017,9.4
149,Klaus,2019,9.4
150,Howards End,1992,9.4
151,The Crying Game,1992,9.4
152,Raging Bull,1980,9.4
153,Private Life,2018,9.4
